Fecha,Calificación acumulativa promedio,Notas
2017-01-04,-,V1.1
2017-01-05,-,
2017-01-06,-,
2017-01-07,-,
2017-01-08,5.00,
2017-01-09,5.00,
2017-01-10,5.00,
2017-01-11,5.00,
2017-01-12,5.00,
2017-01-13,5.00,
2017-01-14,5.00,
2017-01-15,5.00,
2017-01-16,5.00,
2017-01-17,5.00,
2017-01-18,5.00,
2017-01-19,5.00,
2017-01-20,5.00,
2017-01-21,5.00,
2017-01-22,5.00,
2017-01-23,5.00,
2017-01-24,5.00,
2017-01-25,5.00,
2017-01-26,5.00,
2017-01-27,5.00,
2017-01-28,5.00,
2017-01-29,5.00,
2017-01-30,5.00,
2017-01-31,4.92,
2017-02-01,4.92,
2017-02-02,4.92,
2017-02-03,4.92,
2017-02-04,4.86,
2017-02-05,4.92,
2017-02-06,4.92,
2017-02-07,4.92,
2017-02-08,4.79,
2017-02-09,4.79,
2017-02-10,4.79,
2017-02-11,4.79,
2017-02-12,4.79,
2017-02-13,4.79,
2017-02-14,4.79,
2017-02-15,4.79,
2017-02-16,4.79,
2017-02-17,4.79,
2017-02-18,4.79,
2017-02-19,4.79,
2017-02-20,4.79,
2017-02-21,4.79,
2017-02-22,4.79,
2017-02-23,4.79,
2017-02-24,4.79,
2017-02-25,4.79,
2017-02-26,4.79,
2017-02-27,4.73,
2017-02-28,4.73,
2017-03-01,4.73,
2017-03-02,4.73,
2017-03-03,4.73,
2017-03-04,4.73,
2017-03-05,4.73,
2017-03-06,4.73,
2017-03-07,4.75,
2017-03-08,4.75,
2017-03-09,4.71,
2017-03-10,4.71,
2017-03-11,4.71,
2017-03-12,4.71,
2017-03-13,4.71,
2017-03-14,4.71,
2017-03-15,4.71,
2017-03-16,4.72,
2017-03-17,4.72,
2017-03-18,4.72,
2017-03-19,4.72,
2017-03-20,4.72,
2017-03-21,4.74,
2017-03-22,4.74,
2017-03-23,4.75,
2017-03-24,4.75,
2017-03-25,4.76,
2017-03-26,4.77,
2017-03-27,4.54,
2017-03-28,4.54,
2017-03-29,4.56,
2017-03-30,4.56,
2017-03-31,4.56,
2017-04-01,4.56,
2017-04-02,4.56,
2017-04-03,4.56,
2017-04-04,4.56,
2017-04-05,4.58,
2017-04-06,4.58,
2017-04-07,4.58,
2017-04-08,4.58,
2017-04-09,4.58,
2017-04-10,4.58,
2017-04-11,4.58,
2017-04-12,4.59,
2017-04-13,4.59,
2017-04-14,4.61,
2017-04-15,4.61,
2017-04-16,4.59,
2017-04-17,4.61,
2017-04-18,4.61,
2017-04-19,4.61,
2017-04-20,4.61,
2017-04-21,4.59,
2017-04-22,4.59,
2017-04-23,4.59,
2017-04-24,4.59,
2017-04-25,4.59,
2017-04-26,4.59,
2017-04-27,4.55,
2017-04-28,4.55,
2017-04-29,4.55,
2017-04-30,4.55,
2017-05-01,4.55,
2017-05-02,4.55,
2017-05-03,4.55,
2017-05-04,4.55,
2017-05-05,4.55,
2017-05-06,4.55,
2017-05-07,4.55,
2017-05-08,4.55,
2017-05-09,4.55,
2017-05-10,4.53,
2017-05-11,4.53,
2017-05-12,4.53,
2017-05-13,4.53,
2017-05-14,4.53,
2017-05-15,4.53,
2017-05-16,4.53,V1.2
2017-05-17,4.53,
2017-05-18,4.53,
2017-05-19,4.53,
2017-05-20,4.53,
2017-05-21,4.53,
2017-05-22,4.43,
