Fecha,Activos en los últimos 30 días
5/12/16,0.0
6/12/16,0.0
7/12/16,0.0
8/12/16,0.0
9/12/16,0.0
10/12/16,0.0
11/12/16,0.0
12/12/16,0.0
13/12/16,0.0
14/12/16,0.0
15/12/16,0.0
16/12/16,0.0
17/12/16,0.0
18/12/16,0.0
19/12/16,0.0
20/12/16,0.0
21/12/16,0.0
22/12/16,0.0
23/12/16,0.0
24/12/16,0.0
25/12/16,0.0
26/12/16,0.0
27/12/16,0.0
28/12/16,0.0
29/12/16,0.0
30/12/16,0.0
31/12/16,0.0
1/01/17,0.0
2/01/17,0.0
3/01/17,0.0
4/01/17,0.0
5/01/17,0.0
6/01/17,0.0
7/01/17,0.0
8/01/17,6.0
9/01/17,11.0
10/01/17,22.0
11/01/17,24.0
12/01/17,26.0
13/01/17,29.0
14/01/17,31.0
15/01/17,33.0
16/01/17,40.0
17/01/17,41.0
18/01/17,49.0
19/01/17,55.0
20/01/17,56.0
21/01/17,57.0
22/01/17,60.0
23/01/17,65.0
24/01/17,69.0
25/01/17,74.0
26/01/17,75.0
27/01/17,80.0
28/01/17,81.0
29/01/17,82.0
30/01/17,85.0
31/01/17,90.0
1/02/17,93.0
2/02/17,96.0
3/02/17,98.0
4/02/17,98.0
5/02/17,99.0
6/02/17,104.0
7/02/17,101.0
8/02/17,107.0
9/02/17,109.0
10/02/17,110.0
11/02/17,114.0
12/02/17,117.0
13/02/17,118.0
14/02/17,124.0
15/02/17,127.0
16/02/17,129.0
17/02/17,129.0
18/02/17,126.0
19/02/17,128.0
20/02/17,129.0
21/02/17,133.0
22/02/17,135.0
23/02/17,134.0
24/02/17,135.0
25/02/17,138.0
26/02/17,138.0
27/02/17,141.0
28/02/17,144.0
1/03/17,143.0
2/03/17,142.0
3/03/17,145.0
4/03/17,147.0
5/03/17,147.0
6/03/17,154.0
7/03/17,158.0
8/03/17,157.0
9/03/17,158.0
10/03/17,160.0
11/03/17,164.0
12/03/17,108.0
13/03/17,173.0
14/03/17,172.0
15/03/17,170.0
16/03/17,172.0
17/03/17,172.0
18/03/17,172.0
19/03/17,107.0
20/03/17,139.0
21/03/17,142.0
22/03/17,171.0
23/03/17,169.0
24/03/17,170.0
25/03/17,170.0
26/03/17,182.0
27/03/17,185.0
28/03/17,190.0
29/03/17,193.0
30/03/17,201.0
31/03/17,201.0
1/04/17,207.0
2/04/17,212.0
3/04/17,218.0
4/04/17,222.0
5/04/17,227.0
6/04/17,232.0
7/04/17,235.0
8/04/17,235.0
9/04/17,235.0
10/04/17,237.0
11/04/17,242.0
12/04/17,243.0
13/04/17,243.0
14/04/17,245.0
15/04/17,241.0
16/04/17,239.0
17/04/17,247.0
18/04/17,252.0
19/04/17,254.0
20/04/17,258.0
21/04/17,255.0
22/04/17,258.0
23/04/17,256.0
24/04/17,260.0
25/04/17,262.0
26/04/17,262.0
27/04/17,263.0
28/04/17,269.0
29/04/17,268.0
30/04/17,264.0
1/05/17,267.0
2/05/17,268.0
3/05/17,265.0
4/05/17,264.0
5/05/17,269.0
6/05/17,268.0
7/05/17,272.0
8/05/17,277.0
9/05/17,285.0
10/05/17,283.0
11/05/17,281.0
12/05/17,281.0
13/05/17,276.0
14/05/17,277.0
15/05/17,277.0
16/05/17,277.0
17/05/17,273.0
18/05/17,271.0
19/05/17,283.0
20/05/17,285.0
21/05/17,288.0
22/05/17,295.0
23/05/17,310.0
24/05/17,317.0
25/05/17,324.0
26/05/17,338.0
27/05/17,338.0
28/05/17,340.0
29/05/17,344.0
30/05/17,356.0
31/05/17,368.0
1/06/17,374.0
2/06/17,389.0
3/06/17,391.0
4/06/17,390.0
5/06/17,398.0
6/06/17,407.0
7/06/17,408.0
8/06/17,415.0
9/06/17,418.0
10/06/17,422.0
11/06/17,426.0
12/06/17,435.0
13/06/17,445.0
14/06/17,457.0
15/06/17,480.0
16/06/17,493.0
17/06/17,492.0
18/06/17,490.0
19/06/17,502.0
20/06/17,508.0
21/06/17,520.0
22/06/17,525.0
23/06/17,535.0
24/06/17,534.0
25/06/17,529.0
26/06/17,535.0
27/06/17,546.0
28/06/17,552.0
29/06/17,552.0
30/06/17,596.0
1/07/17,603.0
2/07/17,617.0
3/07/17,646.0
4/07/17,658.0
5/07/17,664.0
6/07/17,671.0
7/07/17,683.0
8/07/17,692.0
9/07/17,700.0
10/07/17,709.0
11/07/17,716.0
12/07/17,728.0
13/07/17,727.0
14/07/17,726.0
15/07/17,730.0
16/07/17,727.0
17/07/17,741.0
18/07/17,747.0
19/07/17,764.0
20/07/17,766.0
21/07/17,773.0
22/07/17,776.0
23/07/17,775.0
24/07/17,786.0
25/07/17,794.0
26/07/17,795.0
27/07/17,794.0
28/07/17,800.0
29/07/17,797.0
30/07/17,778.0
31/07/17,781.0
1/08/17,791.0
2/08/17,788.0
3/08/17,806.0
4/08/17,804.0
5/08/17,810.0
6/08/17,810.0
7/08/17,811.0
8/08/17,826.0
9/08/17,820.0
10/08/17,829.0
11/08/17,831.0
12/08/17,834.0
13/08/17,838.0
14/08/17,854.0
15/08/17,860.0
