Marca temporal;Características Técnicas [Sistema de instalación y puesta en marcha];Características Técnicas [Calidad de los componentes multimedia];Características Técnicas [Fluidez y velocidad de procesamiento y presentación de la información.];Aspectos estéticos [Calidad del entorno visual (sencillez, claridad y coherencia)];Aspectos estéticos [Nivel de accesibilidad y/o adaptabilidad];Aspectos estéticos [Sistema de Navegación (sencillez, claridad y coherencia)];ADECUACIÓN COMO RECURSO PARA EL APRENDIZAJE O INTERVENCIÓN [El lenguaje es adecuado a los usuarios a quienes está dirigida (profesionales de la salud)];ADECUACIÓN COMO RECURSO PARA EL APRENDIZAJE O INTERVENCIÓN [El Objetivo de la APP es coherente en cuanto a su fin como herramienta al servicio de los procesos de aprendizaje];ADECUACIÓN COMO RECURSO PARA EL APRENDIZAJE O INTERVENCIÓN [Los contenidos expuestos en la App sirven como herramienta al servicio de los procesos de aprendizaje en la práctica clínica];ADECUACIÓN COMO RECURSO PARA EL APRENDIZAJE O INTERVENCIÓN [Los componentes expuestos en la APP como gráficos y/o tablas sirven como herramienta al servicio de los procesos de aprendizaje en la práctica clínica];Déjanos tus apreciaciones sobre la APP de Calculadora Obstétrica UV;;;;;;
4-11-2018 11:56:07;5;5;4;5;5;4;5;5;5;5;sugiero teclado para inserta fecha  de FUR;;;;;;
4-11-2018 18:01:50;4;5;4;3;4;4;5;5;5;5;;;;;;;
4-11-2018 18:02:04;5;5;5;5;5;5;5;5;5;5;;;;;;;
4-11-2018 18:04:31;4;4;5;5;4;5;5;5;5;5;"Dentro de todas las cosas es una buena herramienta, mas el único detalle que podría poner como un ""pero"", es que para poder ingresar los datos, específicamente las fechas, haya que navegar en un listado de opciones, volviendo algo lento el proceso del ingreso de ñas fechas. Quizás si se pudiera implementar como opción el diaponer de un teclado numérico para poder escribir las fechas, podría ser más expedita.
";;;;;;
4-11-2018 18:10:08;5;5;3;4;3;3;5;5;5;5;Solo comentar que para colocar la fecha de la FUR se mueven mucho los numeros, lo ideal seria si se pudieran escribir, lo demás todo bien :D ;;;;;;
4-11-2018 18:17:43;5;5;5;5;5;5;5;5;5;5;Es sencilla, fácil de utilizar y completa.;;;;;;
4-11-2018 18:26:41;2;2;2;3;3;3;3;3;3;3;.;;;;;;
4-11-2018 19:09:34;3;3;1;4;3;2;4;4;5;5;;;;;;;
4-11-2018 19:13:03;2;2;2;3;3;3;3;3;3;3;;;;;;;
4-11-2018 19:20:24;3;3;3;3;3;3;3;3;3;3;;;;;;;
